,id,0000_kl08,0001_kl09,0002_kl10,0003_kl11,0004_kl12,0005_kl13,0006_kl14,0007_kl15,0008_kl16,0009_kl17,0010_kl18,0011_kl19,0012_kl20,0013_kl21,0014_kl22,0015_kl23,0016_kl00,0017_kl01,0018_kl02,0019_kl03,0020_kl04,0021_kl05,0022_kl06,0023_kl07,0024_kl08
0,1,188.15989237725617,188.12311817414871,186.91255351311244,186.01852522310358,185.63994083339477,185.6945862536247,186.1881825610995,187.1794508676011,188.13904830839655,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.1598967784532
1,2,815.3591521976997,815.2118888690054,810.9694026677964,807.6768280535161,806.1561629526093,806.2565947125033,808.1056686658352,811.8975343318889,815.2819207288103,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3594096677365,815.3591712695536,815.3591712695536,815.3591712695536,815.3591712695536,815.3591712695536,815.3591712695536,815.3592284851152
2,3,721.2384047118807,720.7042101359132,714.3718967154904,709.2498173712697,691.6308186726942,663.6444112640901,694.8606094670544,715.6463599166487,721.0175684232962,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2399737384108,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2386324735037
3,4,1222.929475176616,1222.6769399923105,1214.93275653732,1199.147885148522,1153.6915104048292,1132.437141704301,1185.3962675534772,1213.9760693218614,1222.7825885175844,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.929961514382,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9296468284272
4,5,470.3985316169461,470.03097666364613,463.1888644616246,462.72496744869926,429.3585412434957,429.07867130649885,446.5783800205007,466.8409339252843,470.2631783016118,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3985316169461
5,6,1097.5506051050666,1096.3421720982205,1083.2797276660688,1072.8348260905423,1068.3340307795934,1069.0354611715625,1020.0370421346547,1083.5235119889858,1097.172804525408,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5525691374398,1097.553005589809,1097.553005589809,1097.553005589809,1097.553005589809,1097.553005589809,1097.553005589809,1097.550990208822
6,7,125.4338120547358,125.30423347726625,123.83792921983597,122.65423461831924,122.15003198275058,122.23215986880203,115.99532344927503,124.1577730376647,125.39163245134668,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43401304256511,125.43395289289094,125.43395289289094,125.43395289289094,125.43395289289094,125.43395289289094,125.43395289289094,125.43382525834569
7,8,1066.197827434623,1065.2116827283612,1055.1564761921409,1042.6234554808004,1036.5319090213764,1043.3954897583747,945.6690624139486,1043.4139337606975,1065.8756011456564,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.1994236004878,1066.199585712682,1066.199585712682,1066.199585712682,1066.199585712682,1066.199585712682,1066.199585712682,1066.1980643646132
8,9,595.8381400481317,595.1975480146016,588.2037804662136,582.6114053347364,580.2064356307432,580.5566684827603,583.5518612312592,589.7922921832908,595.6381492961864,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.8381400481317
9,10,1097.5506051050666,1096.3421720982205,1083.2797276660688,1072.8348260905423,1068.3340307795934,1069.0354611715625,1020.0370421346547,1083.5235119889858,1097.172804525408,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5555344457555,1097.5525691374398,1097.553005589809,1097.553005589809,1097.553005589809,1097.553005589809,1097.553005589809,1097.553005589809,1097.550990208822
10,11,125.4395306767158,125.30459437861616,123.83201983983761,122.6550327020498,122.14373841838925,122.2199625204177,122.02984996215179,124.16632010880447,125.39648110145112,125.439984,125.439984,125.439984,125.439984,125.439984,125.439984,125.439984,125.439984,125.4397345988342,125.43973900003766,125.43973900003766,125.43973900003766,125.43973900003766,125.43973900003766,125.43973900003766,125.43956588629591
11,12,188.15989237725617,188.12311817414871,186.91255351311244,186.01852522310358,185.63994083339477,185.6945862536247,186.1881825610995,187.1794508676011,188.13904830839655,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.1599517934163,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.15997599999997,188.1598967784532
12,13,219.51986930540238,219.48185176534133,218.34026530176385,217.4421393691447,217.0423339536972,217.07516789767686,217.5657503424079,218.57638835136822,219.5003573318432,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.5198795748621
13,14,344.9598712769569,344.895485797403,342.8904786560694,341.18297839064365,340.3645539545219,340.4247881147528,341.38917014839154,343.2836339177112,344.9279105174055,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.959956,344.959956,344.959956,344.959956,344.959956,344.959956,344.959956,344.9598793458182
14,15,156.79990664671595,156.77401293744384,155.9910601702444,155.36698321291198,155.08075882527643,155.09776035604204,155.43873377583193,156.14128219390977,156.78605204572955,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79991398204436
15,16,219.51986930540238,219.48185176534133,218.34026530176385,217.4421393691447,217.0423339536972,217.07516789767686,217.5657503424079,218.57638835136822,219.5003573318432,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.51997200000002,219.5198795748621
16,17,344.9597946227751,344.90344572731834,343.0701439847026,341.51639177263377,340.83205155693764,340.91231671556204,341.77745587680073,343.46415853746356,344.92818485755186,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95981076049765
17,18,344.9550420633771,344.7161634149446,341.6173171510708,339.2258236955334,338.09134573933187,338.1671930350467,339.55918468285716,342.30274682053937,344.8624196052552,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.9551550277134,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106
18,19,815.3591521976997,815.2118888690054,810.9694026677964,807.6768280535161,806.1561629526093,806.2565947125033,808.1056686658352,811.8975343318889,815.2819207288103,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3597911048039,815.3594096677365,815.3591712695536,815.3591712695536,815.3591712695536,815.3591712695536,815.3591712695536,815.3591712695536,815.3592284851152
19,20,282.2237235829098,282.0146909227486,279.4437406125079,277.4260932691136,276.41497224861246,276.49392296333264,277.67399064610714,279.9863717787247,282.137309383029,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.2243375498129,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.2238127070232
20,21,344.9550420633771,344.7161634149446,341.6173171510708,339.2258236955334,338.09134573933187,338.1671930350467,339.55918468285716,342.30274682053937,344.8624196052552,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.95553022950315,344.9551550277134,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106,344.95507433879106
21,22,156.79990664671595,156.77401293744384,155.9910601702444,155.36698321291198,155.08075882527643,155.09776035604204,155.43873377583193,156.14128219390977,156.78605204572955,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.7999726646716,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79997999999998,156.79991398204436
22,23,595.8397985658843,595.4168416930582,589.3576145245883,583.7839362433825,581.3147577588079,581.73888517968,584.9341939064096,590.8642172868817,595.69380719229,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.8398264401322
23,24,501.7426070197988,501.19894183132544,495.3141422410131,490.6210577120329,488.5936140654859,488.8928672967767,489.2184545420118,496.6539022024176,501.5713535180975,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.7433933670039,501.7435342053093,501.7435342053093,501.7435342053093,501.7435342053093,501.7435342053093,501.7435342053093,501.7428006728443
24,25,344.94578707965155,344.5770159166959,340.5417261315498,337.3056932426565,335.9243403457956,336.12287455023994,337.85805056046615,341.45229711802597,344.82763071386506,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.9464245192769,344.9464688982719,344.9464688982719,344.9464688982719,344.9464688982719,344.9464688982719,344.9464688982719,344.94593231987693
25,26,282.2391189701677,281.92955086898945,278.62243404628197,275.9711368241607,274.83757196118876,275.02235970480456,260.9894777608688,278.760751655849,282.13117301553007,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.2394655644382,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677
26,27,344.94578707965155,344.5770159166959,340.5417261315498,337.3056932426565,335.9243403457956,336.12287455023994,337.85805056046615,341.45229711802597,344.82763071386506,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.94721123360983,344.9464245192769,344.9464688982719,344.9464688982719,344.9464688982719,344.9464688982719,344.9464688982719,344.9464688982719,344.94593231987693
27,28,282.2391189701677,281.92955086898945,278.62243404628197,275.9711368241607,274.83757196118876,275.02235970480456,260.9894777608688,278.760751655849,282.13117301553007,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.23996399999993,282.2394655644382,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677,282.2391189701677
28,29,282.2378415227849,281.9345253238491,278.6353407446309,275.97202789121826,274.83757196118876,275.02235970480456,259.9319454034947,278.157842677977,282.13117301553007,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2380296738571,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.23787123075516
29,30,125.4338120547358,125.30423347726625,123.83792921983597,122.65423461831924,122.15003198275058,122.23215986880203,115.99532344927503,124.1577730376647,125.39163245134668,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43420082734787,125.43401304256511,125.43395289289094,125.43395289289094,125.43395289289094,125.43395289289094,125.43395289289094,125.43395289289094,125.43382525834569
30,31,125.43276603684879,125.33986263233274,124.24572211640118,123.37074659759566,122.98484371435329,123.06315131442494,123.50489497831961,124.47186441819125,125.39435972579068,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43303891102795,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43280564756586
31,32,721.2384047118807,720.7042101359132,714.3718967154904,709.2498173712697,691.6308186726942,663.6444112640901,694.8606094670544,715.6463599166487,721.0175684232962,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2399737384108,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2386324735037
32,33,282.2237235829098,282.0146909227486,279.4437406125079,277.4260932691136,276.41497224861246,276.49392296333264,277.67399064610714,279.9863717787247,282.137309383029,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.2243375498129,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.2238127070232
33,34,219.50401582652407,219.30011056994155,216.72163392723033,214.64585272365827,213.7519423829134,213.86052957360428,214.96721256537987,217.2719000074625,219.42617589019517,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.50450105931967,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50411338665478
34,35,250.87918165279487,250.63064018279604,247.30476696140983,244.3685617081414,242.9956252145184,243.1655939140842,244.90873216344815,248.07701580895898,250.7833998686048,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87985356888137,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87921686237124
35,36,282.2378415227849,281.9345253238491,278.6353407446309,275.97202789121826,274.83757196118876,275.02235970480456,259.9319454034947,278.157842677977,282.13117301553007,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2380296738571,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.23787123075516
36,37,972.1105198762014,971.3396729381391,963.0266734830524,941.6321057525314,926.2786567618977,953.588545802565,943.784051493857,959.5591238941852,971.8270490301238,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1122253400558,972.1114294560505,972.1114294560505,972.1114294560505,972.1114294560505,972.1114294560505,972.1114294560505,972.1107359000222
37,38,188.15698978794686,188.0176500877567,186.38770635744646,185.08778852733377,184.56905244150866,184.63444997625695,185.3055641849982,186.73117584231684,188.1026790175579,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15729567093297,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15702939843862
38,39,721.2684608537965,720.7054754984192,708.5518367262714,709.2340929941807,656.1123546930272,658.4958176704512,687.5700276913469,715.7634799444213,721.0594260045384,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.269633405243,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2686126940146
39,40,313.5978290871169,313.29150576935564,309.2608416648363,305.9022771686737,304.3378311885798,304.53880838929217,306.54378907726743,310.20818489250473,313.47426548362535,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.5981885182182,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.5979317816207
40,41,125.43276603684879,125.33986263233274,124.24572211640118,123.37074659759566,122.98484371435329,123.06315131442494,123.50489497831961,124.47186441819125,125.39435972579068,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43303891102795,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43280564756586
41,42,219.50401582652407,219.30011056994155,216.72163392723033,214.64585272365827,213.7519423829134,213.86052957360428,214.96721256537987,217.2719000074625,219.42617589019517,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.50450105931967,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50411338665478
42,43,188.15698978794686,188.0176500877567,186.38770635744646,185.08778852733377,184.56905244150866,184.63444997625695,185.3055641849982,186.73117584231684,188.1026790175579,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15729567093297,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15702939843862
43,44,313.5978290871169,313.29150576935564,309.2608416648363,305.9022771686737,304.3378311885798,304.53880838929217,306.54378907726743,310.20818489250473,313.47426548362535,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.5981885182182,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.5979317816207
44,45,250.87918165279487,250.63064018279604,247.30476696140983,244.3685617081414,242.9956252145184,243.1655939140842,244.90873216344815,248.07701580895898,250.7833998686048,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87985356888137,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87921686237124
45,46,501.7426070197988,501.19894183132544,495.3141422410131,490.6210577120329,488.5936140654859,488.8928672967767,489.2184545420118,496.6539022024176,501.5713535180975,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.74477827745756,501.7433933670039,501.7435342053093,501.7435342053093,501.7435342053093,501.7435342053093,501.7435342053093,501.7435342053093,501.7428006728443
46,47,125.4395306767158,125.30459437861616,123.83201983983761,122.6550327020498,122.14373841838925,122.2199625204177,122.02984996215179,124.16632010880447,125.39648110145112,125.439984,125.439984,125.439984,125.439984,125.439984,125.439984,125.439984,125.439984,125.4397345988342,125.43973900003766,125.43973900003766,125.43973900003766,125.43973900003766,125.43973900003766,125.43973900003766,125.43956588629591
47,48,344.9598712769569,344.895485797403,342.8904786560694,341.18297839064365,340.3645539545219,340.4247881147528,341.38917014839154,343.2836339177112,344.9279105174055,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.9599398622775,344.959956,344.959956,344.959956,344.959956,344.959956,344.959956,344.959956,344.9598793458182
48,49,595.8381400481317,595.1975480146016,588.2037804662136,582.6114053347364,580.2064356307432,580.5566684827603,583.5518612312592,589.7922921832908,595.6381492961864,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.8398821886279,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.8381400481317
49,50,344.9597946227751,344.90344572731834,343.0701439847026,341.51639177263377,340.83205155693764,340.91231671556204,341.77745587680073,343.46415853746356,344.92818485755186,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.9599156556938,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95995600000003,344.95981076049765
50,51,250.87993572455503,250.8340136360312,249.32086157187638,248.0681254416331,247.54923897429902,247.67149822094186,248.33423654280887,249.62724935624064,250.8534903985868,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.879968,250.879968,250.879968,250.879968,250.879968,250.879968,250.879968,250.87994159281777
51,52,595.8397985658843,595.4168416930582,589.3576145245883,583.7839362433825,581.3147577588079,581.73888517968,584.9341939064096,590.8642172868817,595.69380719229,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.8397567545123,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.839924,595.8398264401322
52,53,250.87993572455503,250.8340136360312,249.32086157187638,248.0681254416331,247.54923897429902,247.67149822094186,248.33423654280887,249.62724935624064,250.8534903985868,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.8799503952118,250.879968,250.879968,250.879968,250.879968,250.879968,250.879968,250.879968,250.87994159281777
53,54,1222.929475176616,1222.6769399923105,1214.93275653732,1199.147885148522,1153.6915104048292,1132.437141704301,1185.3962675534772,1213.9760693218614,1222.7825885175844,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.9314205064413,1222.929961514382,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9297183509916,1222.9296468284272
54,55,1066.197827434623,1065.2116827283612,1055.1564761921409,1042.6234554808004,1036.5319090213764,1043.3954897583747,945.6690624139486,1043.4139337606975,1065.8756011456564,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.2011943490843,1066.1994236004878,1066.199585712682,1066.199585712682,1066.199585712682,1066.199585712682,1066.199585712682,1066.199585712682,1066.1980643646132
55,56,972.1105198762015,971.3396729381392,963.0266734830524,941.6321057525314,926.2786567618977,953.5885458025649,943.784051493857,959.5591238941853,971.8270490301238,972.1135669719122,972.1135669719122,972.1135669719122,972.1135669719122,972.1135669719122,972.1135669719122,972.1135669719122,972.1135669719122,972.1122253400558,972.1114294560506,972.1114294560506,972.1114294560506,972.1114294560506,972.1114294560506,972.1114294560506,972.1107359000222
56,57,470.3985316169461,470.03097666364613,463.1888644616246,462.72496744869926,429.3585412434957,429.07867130649885,446.5783800205007,466.8409339252843,470.2631783016118,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3999400000001,470.3985316169461
57,58,721.2684608537965,720.7054754984192,708.5518367262714,709.2340929941807,656.1123546930272,658.4958176704512,687.5700276913469,715.7634799444213,721.0594260045384,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.269633405243,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2686126940146
